year,puan_alt,TYT,SAY
2025,550,15,72
2025,530,631,2433
2025,510,3830,8927
2025,490,12317,20347
2025,470,28492,37076
2025,450,55113,58170
2025,430,93340,82510
2025,410,143957,109826
2025,390,211135,140563
2025,370,300398,176014
2025,350,417620,219805
2025,330,572415,274547
2025,310,773826,345742
2025,290,1024766,439215
2025,270,1313501,567152
2025,250,1619470,752162
2025,230,1926358,1022660
2025,210,2204379,1327217
2025,190,2383197,1548286
2025,170,2423372,1623663
2025,150,2425533,1628150
2025,130,2425560,1628200
2025,115,2425560,1628200
